GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,kpoe,gruene,fpoe,lh,bzoe,pf
G60326,Sankt Josef (Weststeiermark),1068,896,882,14,322,422,51,26,27,14,20,0
G60327,Sankt Martin im Sulmtal,1484,1232,1206,26,450,592,47,23,32,32,30,0
G60328,Sankt Oswald ob Eibiswald,480,385,379,6,186,152,9,4,19,4,5,0
G60329,Sankt Peter im Sulmtal,1065,817,809,8,327,370,39,23,14,13,23,0
G60330,Sankt Stefan ob Stainz,1759,1325,1301,24,427,617,91,42,40,19,65,0
G60331,Schwanberg,1716,1257,1241,16,635,435,38,42,57,17,17,0
G60332,Soboth,327,284,279,5,171,92,4,5,6,0,1,0
G60333,Stainz,1863,1407,1380,27,500,583,78,81,54,30,54,0
G60334,Stainztal,1168,928,910,18,368,406,47,35,21,13,20,0
G60335,Stallhof,400,319,317,2,197,70,18,17,4,4,7,0
G60336,Sulmeck-Greith,1112,893,881,12,359,432,21,13,30,5,21,0
G60338,Trahütten,303,242,241,1,73,131,8,6,10,6,7,0
G60339,Unterbergla,1116,894,872,22,302,460,44,13,30,7,16,0
G60340,Wernersdorf,543,448,445,3,181,223,8,6,11,7,9,0
G60341,Wettmannstätten,1163,956,943,13,388,446,31,11,51,6,10,0
G60342,Wielfresen,531,450,447,3,125,288,5,8,9,0,12,0
G60343,Wies,1937,1505,1476,29,651,617,37,41,62,40,28,0
G60401,Auersbach,688,605,598,7,117,423,13,3,10,5,27,0
G60402,Aug-Radisch,233,195,187,8,26,128,2,1,6,22,2,0
G60403,Bad Gleichenberg,1629,1230,1214,16,387,643,35,52,46,30,21,0
G60404,Bairisch Kölldorf,774,657,645,12,399,190,7,16,6,13,14,0
G60405,Baumgarten bei Gnas,481,395,385,10,111,231,10,5,9,9,10,0
G60406,Breitenfeld an der Rittschein,634,562,555,7,241,261,15,9,22,5,2,0
G60407,Edelsbach bei Feldbach,1061,883,868,15,282,506,17,12,24,14,13,0
G60408,Edelstauden,342,274,266,8,49,168,11,4,21,10,3,0
G60409,Eichkögl,962,752,742,10,216,422,29,13,41,13,8,0
G60410,Fehring,2467,1810,1770,40,618,852,67,72,89,42,30,0
G60411,Feldbach,3550,2617,2568,49,1056,992,116,146,121,79,58,0
G60412,Fladnitz im Raabtal,574,475,467,8,183,225,17,4,24,8,6,0
G60413,Frannach,414,369,365,4,81,245,12,11,6,7,3,0
G60414,Frutten-Gießelsdorf,530,432,424,8,100,299,7,2,5,7,4,0
G60415,Glojach,189,164,158,6,24,115,5,5,6,2,1,0
G60416,Gnas,1433,1162,1147,15,237,675,31,32,30,134,8,0
G60417,Gniebing-Weißenbach,1730,1347,1327,20,410,671,58,48,62,35,43,0
G60418,Gossendorf,728,572,567,5,194,310,16,7,14,11,15,0
G60419,Grabersdorf,287,253,251,2,43,165,7,10,0,25,1,0
G60420,Hatzendorf,1429,1096,1068,28,321,578,39,38,49,17,26,0
G60421,Hohenbrugg-Weinberg,850,695,686,9,262,339,27,23,23,5,7,0
G60422,Jagerberg,1434,1207,1190,17,243,807,47,17,29,22,25,0
G60423,Johnsdorf-Brunn,586,474,466,8,164,254,13,7,15,4,9,0
G60424,Kapfenstein,1323,1062,1042,20,318,632,17,17,29,14,15,0
G60425,Kirchbach in Steiermark,1275,994,982,12,247,576,39,50,41,12,17,0
G60426,Kirchberg an der Raab,1456,1186,1170,16,302,659,35,40,86,31,17,0
G60427,Kohlberg,447,403,400,3,126,222,5,9,8,21,9,0
G60428,Kornberg bei Riegersburg,936,773,756,17,205,454,30,21,23,14,9,0
G60429,Krusdorf,309,256,254,2,52,173,11,6,4,5,3,0
G60430,Leitersdorf im Raabtal,495,442,430,12,211,163,16,6,11,5,18,0
G60431,Lödersdorf,565,478,467,11,136,291,8,12,6,6,8,0
G60432,Maierdorf,446,380,373,7,59,263,9,6,8,21,7,0
G60433,Merkendorf,920,755,741,14,280,371,21,17,19,13,20,0
G60434,Mitterlabill,356,295,281,14,38,216,6,5,7,5,4,0
G60435,Mühldorf bei Feldbach,2359,1810,1772,38,592,894,80,66,58,52,30,0
G60436,Oberdorf am Hochegg,621,535,527,8,238,254,13,3,7,7,5,0
G60437,Oberstorcha,467,363,359,4,95,213,8,4,28,6,5,0
G60438,Paldau,1600,1313,1294,19,439,705,34,25,31,32,28,0
G60439,Perlsdorf,315,262,253,9,64,151,5,7,8,14,4,0
G60440,Pertlstein,654,533,519,14,185,268,17,13,25,5,6,0
G60441,Petersdorf II,673,480,473,7,120,270,31,9,22,8,13,0
G60442,Pirching am Traubenberg,1145,956,937,19,196,583,59,31,33,23,12,0
G60443,Poppendorf,556,473,465,8,88,319,7,12,9,22,8,0
G60444,Raabau,453,408,401,7,120,228,10,19,9,8,7,0
G60445,Raning,625,559,545,14,107,334,9,5,14,66,10,0
G60447,Riegersburg,1986,1599,1555,44,343,995,59,55,52,23,28,0
G60448,Sankt Anna am Aigen,1443,1149,1123,26,251,699,20,22,89,21,21,0
G60449,Sankt Stefan im Rosental,2996,2356,2312,44,590,1390,73,46,80,70,63,0
G60450,Schwarzau im Schwarzautal,509,433,425,8,84,275,22,10,13,10,11,0
G60451,Stainz bei Straden,821,692,673,19,148,403,11,31,65,12,3,0
G60452,Studenzen,551,448,438,10,153,205,21,8,34,8,9,0
G60453,Trautmannsdorf in Oststeiermark,671,564,559,5,302,198,18,22,10,3,6,0
G60454,Unterauersbach,385,345,339,6,47,232,14,15,7,20,4,0
G60455,Unterlamm,1015,836,824,12,120,614,23,9,27,9,22,0
G60456,Zerlach,1376,1140,1109,31,249,716,40,18,41,17,28,0
G60501,Altenmarkt bei Fürstenfeld,944,753,741,12,191,417,26,43,27,18,19,0
G60502,Bad Blumau,1178,931,918,13,174,615,29,33,29,19,19,0
G60503,Burgau,801,659,651,8,290,264,21,30,25,11,10,0
G60504,Fürstenfeld,4691,3349,3293,56,1187,1474,152,197,121,66,96,0
G60505,Großsteinbach,1058,905,880,25,141,601,25,31,51,14,17,0
G60506,Großwilfersdorf,1091,837,813,24,210,491,31,22,33,12,14,0
G60507,Hainersdorf,527,459,448,11,69,303,14,26,14,16,6,0
G60508,Ilz,2017,1576,1549,27,509,786,67,75,53,30,29,0
G60509,Loipersdorf bei Fürstenfeld,1105,833,819,14,225,458,33,19,53,14,17,0
G60510,Nestelbach im Ilztal,906,738,710,28,186,400,31,38,16,12,27,0
G60511,Ottendorf an der Rittschein,1167,915,901,14,276,514,26,31,36,10,8,0
G60512,Söchau,1193,999,967,32,295,540,29,45,30,14,14,0
G60513,Stein,402,335,329,6,51,241,14,8,11,4,0,0
G60514,Übersbach,945,745,727,18,198,424,25,31,27,12,10,0
G60601,Attendorf,1374,1037,1023,14,305,457,76,70,58,25,20,12
G60602,Brodingberg,941,776,767,9,177,425,55,30,33,19,20,8
G60603,Deutschfeistritz,2928,2217,2195,22,976,796,137,74,105,49,41,17
G60604,Dobl,1140,953,945,8,242,484,61,37,79,15,18,9
G60605,Edelsgrub,514,419,410,9,101,223,23,14,28,12,4,5
G60606,Eggersdorf bei Graz,1486,1138,1125,13,350,512,92,71,48,23,16,13
G60607,Eisbach,2279,1808,1786,22,754,639,108,87,141,23,23,11
G60608,Feldkirchen bei Graz,3934,2681,2653,28,1067,962,254,97,143,50,56,24
G60609,Fernitz,2286,1790,1772,18,730,673,101,91,76,45,38,18
G60610,Frohnleiten,5046,4094,4050,44,2316,1078,207,181,155,52,37,24
G60611,Gössendorf,2541,1854,1829,25,793,632,156,62,90,47,33,16
G60612,Grambach,1124,929,926,3,359,382,41,60,34,18,23,9
G60613,Gratkorn,5392,4091,4061,30,2430,939,260,124,145,61,69,33
G60614,Gratwein,2766,2120,2086,34,1118,459,170,122,123,35,42,17
G60615,Großstübing,297,245,240,5,99,117,5,1,11,4,2,1
G60616,Gschnaidt,310,259,256,3,89,141,5,1,13,2,5,0
G60617,Hart bei Graz,3273,2545,2522,23,1034,762,205,272,115,62,45,27
G60618,Haselsdorf-Tobelbad,992,803,798,5,426,240,55,24,21,9,14,9
G60619,Hausmannstätten,2054,1552,1527,25,492,638,93,114,83,58,32,17
G60620,Hitzendorf,2757,2185,2159,26,826,894,151,96,79,51,43,19
G60621,Höf-Präbach,1071,869,854,15,286,393,70,46,18,21,11,9
G60622,Judendorf-Straßengel,4093,3087,3066,21,1510,772,285,193,161,59,56,30
G60623,Kainbach bei Graz,2094,1377,1346,31,355,620,100,104,94,35,24,14
G60624,Kalsdorf bei Graz,3870,2710,2681,29,1307,813,217,115,91,48,68,22
G60625,Krumegg,1116,854,848,6,211,379,49,63,95,29,13,9
G60626,Kumberg,2632,1976,1939,37,504,901,151,173,97,61,30,22
G60627,Langegg bei Graz,648,531,508,23,130,294,29,25,17,6,3,4
G60628,Laßnitzhöhe,2058,1585,1550,35,458,661,132,150,56,39,35,19
G60629,Lieboch,3309,2546,2520,26,1154,770,205,140,100,65,61,25
G60630,Mellach,909,740,733,7,296,273,64,43,15,22,10,10
G60631,Nestelbach bei Graz,848,705,695,10,192,354,46,47,23,9,15,9
G60632,Peggau,1605,1221,1208,13,620,326,109,41,47,22,30,13
G60633,Pirka,2253,1687,1669,18,751,518,143,77,76,34,51,19
G60634,Hart-Purgstall,1302,1053,1030,23,256,539,88,39,51,29,20,8
G60635,Raaba,1715,1252,1238,14,460,456,119,93,57,26,12,15
G60636,Röthelstein,179,156,153,3,69,52,1,3,10,16,1,1
G60637,Rohrbach-Steinberg,1035,817,805,12,398,245,59,23,40,17,19,4
G60639,Sankt Bartholomä,1094,879,872,7,295,395,45,39,48,25,11,14
G60640,Sankt Marein bei Graz,938,734,724,10,194,341,42,68,43,20,8,8
