GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,fpoe,gruene,kpoe,bzoe,cpoe,puma
G61742,Reichendorf,484,330,328,2,72,161,69,7,12,7,0,0
G61743,Rettenegg,654,504,496,8,193,245,37,7,9,2,3,0
G61744,Sankt Kathrein am Hauenstein,576,470,463,7,155,238,36,8,15,10,1,0
G61745,Sankt Kathrein am Offenegg,981,730,722,8,200,424,47,17,10,22,2,0
G61746,Sankt Margarethen an der Raab,3172,2120,2089,31,621,965,204,146,67,67,19,0
G61747,Sankt Ruprecht an der Raab,1581,942,931,11,265,391,111,82,39,33,10,0
G61748,Sinabelkirchen,3175,2089,2054,35,719,731,328,97,79,88,12,0
G61749,Stenzengreith,450,326,324,2,87,163,45,6,14,8,1,0
G61750,Strallegg,1642,1236,1218,18,390,624,123,21,33,19,8,0
G61751,Thannhausen,1952,1338,1321,17,463,596,121,55,40,24,22,0
G61752,Ungerdorf,593,367,359,8,94,157,45,32,21,8,2,0
G61753,Unterfladnitz,1252,823,804,19,231,360,91,46,32,34,10,0
G61754,Waisenegg,927,698,689,9,177,338,118,10,14,11,21,0
G61755,Weiz,7248,4393,4337,56,2369,943,365,306,234,81,39,0
